,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,Kotlin
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,auction-gym,Jupyter Notebook
45,augment-the-pairs-wacv2024,Python
46,autotrail,Python
47,aws-apigateway-client-lib,
48,aws-sigv4-signing-samples,Java
49,awsssmchaosrunner,Kotlin
50,basis-point-sets,Python
51,buy-with-prime-automate-tenant-validation,JavaScript
52,buy-with-prime-cdk-constructs,TypeScript
53,buy-with-prime-event-accelerator,Python
54,buy-with-prime-monitoring-sample-cdk,TypeScript
55,buy-with-prime-oauth-handler-ec2,JavaScript
56,buy-with-prime-saas-integration,TypeScript
57,chalet-charging-location-for-electric-trucks,Python
58,computer-vision-basics-in-microsoft-excel,
59,confident-sinkhorn-allocation,Jupyter Notebook
60,convolutional-handwriting-gan,Python
61,cosearcher,Python
62,credence-to-causal-estimation,Python
63,data-jack-knife,Java
64,debiased-balanced-interleaving,Jupyter Notebook
65,differential-privacy-bayesian-optimization,Python
66,distance-assistant,Python
67,drs-sample-android-app,Java
68,drs-sample-ios-app,Objective-C
69,emukit-playground,JavaScript
70,eslint-plugin-no-date-parsing,TypeScript
71,exoplayer-amazon-port,Java
72,explainable-text-vqa,
73,faithful-data2text-cycle-training,Python
74,fashion-attribute-disentanglement,Python
75,fire-app-builder,Java
76,firetv-sample-touch-app,Java
77,ftv-livetv-sample-tv-app,Java
78,gameon-sample-game-unity,C#
79,gameon-starter-kit-unity,C#
80,git-commit-template,JavaScript
81,glad,JavaScript
82,golang-gitoperations,Go
83,halo-third-party-sdk-for-java,Java
84,halo-third-party-sdk-for-node-js,TypeScript
85,halo-third-party-sdk-for-python,Python
86,hawktracer,C++
87,image-misspell-coling2020,
88,image-to-recipe-transformers,Python
89,ion-object-mapper-dotnet,C#
90,jekyll-doc-project,HTML
91,kqr,
92,login-with-amazon-oscommerce,PHP
93,login-with-amazon-wordpress,PHP
94,merlin-on-demand-callgraph,JavaScript
95,metalearn-leap,Python
96,milan,Scala
97,multiconer-baseline,Python
98,multilingual-keyphrase-generation,Python
99,multimodal-affinities,Python
100,MXFusion,Python
101,nimbus-jose-jwt_aws-kms-extension,Java
102,node-jose_aws-kms-extension,TypeScript
103,openapi-swift-code-generate,Swift
104,orthogonal-additive-gaussian-processes,Python
105,oss-attribution-builder,TypeScript
106,oss-contribution-tracker,TypeScript
107,oss-dashboard,Ruby
108,pecos,Python
109,pretraining-or-self-training,Python
110,python-jose_aws-kms-extension,Python
111,rdma-core,C
112,refuel-open-domain-qa,Python
113,rete-thewebconf-2022,Python
114,rheoceros,Python
115,robotiq-gripper-interface,C++
116,sample-fire-tv-app-video-skill,Java
117,selling-partner-api-docs,
118,selling-partner-api-models,Java
119,selling-partner-api-samples,Java
120,seqzero,Python
121,service-model-swift-code-generate,Swift
122,sketch-constructor,JavaScript
123,smoke-aws,Swift
124,smoke-aws-credentials,Swift
125,smoke-aws-generate,Swift
126,smoke-aws-support,Swift
127,smoke-dynamodb,Swift
128,smoke-framework,Swift
129,smoke-framework-application-generate,Swift
130,smoke-framework-examples,Swift
131,smoke-http,Swift
132,sparse-vqvae,Python
133,ss-aga-kgc,Python
134,sto-transformer,Python
135,style-dictionary,JavaScript
136,supply-chain-simulation-environment,Python
137,tiny-attribution-generator,TypeScript
138,trans-encoder,Python
139,user-satisfaction-modeling,Python
140,workspace-resolver,JavaScript
141,xfer,Python
142,zeek-plugin-bacnet,Zeek
143,zeek-plugin-enip,Zeek
144,zeek-plugin-profinet,Zeek
145,zeek-plugin-s7comm,Zeek
146,zeek-plugin-tds,Zeek
147,zero-shot-rlhr,Python
