,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,apache-pyiceberg,Java
5,archaius,Java
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,codec_compare,Python
25,concurrency-limits,Java
26,conductor,Java
27,conductor-community,Java
28,conductor-docs,Python
29,conductor-ui,JavaScript
30,consoleme,Python
31,curator,Java
32,denominator,Java
33,derand,Java
34,dgs,HTML
35,dgs-codegen,Kotlin
36,dgs-examples-java,Java
37,dgs-examples-java-2.7,Java
38,dgs-examples-java.latest,Java
39,dgs-examples-java16,Java
40,dgs-examples-kotlin,Kotlin
41,dgs-examples-kotlin-2.7,Kotlin
42,dgs-examples-webflux,Java
43,dgs-federation-example,Kotlin
44,dgs-framework,Kotlin
45,dgs-intellij-plugin,Kotlin
46,dial-reference,C
47,dispatch,Python
48,dispatch-docker,Shell
49,dyno,Java
50,dyno-queues,Java
51,dynomite,C
52,dynomite-manager,Java
53,e2nest,Python
54,eclipse-jifa,Java
55,eclipse-mat,
56,edda,Scala
57,edda-client,Java
58,element-server,JavaScript
59,ember-batch-request,JavaScript
60,ember-nf-graph,JavaScript
61,ember-nf-graph-examples,JavaScript
62,eslint-config-netflix,JavaScript
63,eslint-config-netflix-dea,JavaScript
64,eureka,Java
65,eureka-ui,JavaScript
66,EVCache,Java
67,fabricator,Java
68,falcor,JavaScript
69,falcor-datasource-chainer,JavaScript
70,falcor-express,JavaScript
71,falcor-express-demo,HTML
72,falcor-hapi,JavaScript
73,falcor-hapi-demo,HTML
74,falcor-http-datasource,JavaScript
75,falcor-json-graph,JavaScript
76,falcor-observable,JavaScript
77,falcor-path-syntax,JavaScript
78,falcor-path-utils,JavaScript
79,falcor-restify,JavaScript
80,falcor-restify-demo,HTML
81,falcor-router,JavaScript
82,falcor-router-demo,JavaScript
83,fast_jsonapi,Ruby
84,Fenzo,Java
85,Fido,C#
86,flamescope,Python
87,frigga,Java
88,genie,Java
89,glisten,Groovy
90,go-env,Go
91,go-expect,Go
92,go-iomux,Go
93,governator,Java
94,gradle-template,Java
95,hal-9001,Go
96,hollow,Java
97,hollow-reference-implementation,Java
98,hubcommander,Python
99,Hystrix,Java
100,iceberg,Java
101,iceberg-python,
102,iep,Java
103,iep-shadow,
104,image_compression_comparison,Python
105,inviso,JavaScript
106,karyon,Java
107,lemur,Python
108,lemur-docker,Python
109,Lipstick,JavaScript
110,mantis,Java
111,mantis-api,Java
112,mantis-cli,JavaScript
113,mantis-connectors,Java
114,mantis-control-plane,Java
115,mantis-examples,Java
116,mantis-gradle-plugin,Groovy
117,mantis-helm,
118,mantis-mql,Clojure
119,mantis-rxcontrol,Java
120,mantis-rxnetty,
121,mantis-source-jobs,Java
122,mantis-ui,TypeScript
123,matchcut,Jupyter Notebook
124,metacat,Java
125,metaflow,Python
126,metaflow-docs,JavaScript
127,metaflow-extensions-template,Python
128,metaflow-nflx-extensions,Python
129,metaflow-service,Python
130,metaflow-tools,HCL
131,metaflow-ui,TypeScript
132,metrics-client-go,Go
133,msl,C++
134,ndbench,HTML
135,nerror,JavaScript
136,netflix-commons,Java
137,netflix-graph,Java
138,netflix.github.com,HTML
139,netflixoss-npm-build-infrastructure,
140,nf-data-explorer,TypeScript
141,nflx-geofeed,
142,nflxprofile,Python
143,NfWebCrypto,C++
144,Nicobar,Java
145,ocelli,Java
146,octodns,
147,octodns-ns1,Python
148,octodns-route53,
149,octodns-ultra,Python
150,osstracker,Scala
151,p2plab,Go
152,photon,Java
153,PigPen,Clojure
154,pollyjs,JavaScript
155,polynote,HTML
156,Prana,Java
157,Priam,Java
158,probnik,TypeScript
159,pygenie,Python
160,pytheas,JavaScript
161,q,Java
162,Raigad,Java
163,ReactiveLab,Java
164,reactivesocket-examples,Java
165,read_bbrlog,C
166,recipes-rss,Java
167,rend,Go
168,rend-http,Go
169,rend-lmdb,Go
170,repokid,Python
171,restful-jsonapi,Ruby
172,ribbon,Java
173,runtime-health,Java
174,rx-aws-java-sdk,Java
175,s3mper,Java
176,security-bulletins,
177,security_monkey,Python
178,servo,Java
179,sherlock,R
180,signal-wrapper,Go
181,SimianArmy,Java
182,sleepy-puppy-docker,Dockerfile
183,spark,Scala
184,spectator,Java
185,spectator-cpp,C++
186,spectator-go,Go
187,spectator-js,JavaScript
188,spectator-py,Python
189,spectator-rb,Ruby
190,staash,Java
191,sureal,Python
192,suro,Java
193,Surus,Java
194,taskintrospection,C
195,tcplog_dumper,C
196,techreports,
197,titus,
198,titus-api-definitions,Makefile
199,titus-control-plane,Java
200,titus-executor,Go
201,titus-kube-common,Go
202,tslint-config-netflix,JavaScript
203,Turbine,Java
204,unleash,JavaScript
205,user2020-metaflow-tutorial,R
206,vector,JavaScript
207,vectorflow,D
208,virtual-kubelet,Go
209,vizceral,JavaScript
210,vizceral-component,JavaScript
211,vizceral-example,JavaScript
212,vizceral-react,JavaScript
213,vmaf,Python
214,vmaf_resource,
215,vp9-dash,
216,webpack-parse-query,JavaScript
217,weep,Go
218,Workflowable,Ruby
219,x-element,JavaScript
220,x-test,JavaScript
221,yetch,JavaScript
222,zeno,Java
223,zuul,Java
