,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel-tools,Java
18,beam,Java
19,big-data-rosetta-code,Scala
20,bigtable-autoscaler,Java
21,boilerplate-app,
22,bucket-runner,JavaScript
23,cartography,Python
24,cassandra-extra,Java
25,cassandra-medusa,Python
26,cassandra-opstools,Java
27,cassandra-reaper,
28,certcheck,Python
29,chartify,Python
30,code-of-conduct,
31,collectd,C
32,comet,Python
33,comet-common,Python
34,comet-core,Python
35,completable-futures,Java
36,condor,Java
37,confidence,Python
38,confidence-openfeature-provider-go,Go
39,confidence-openfeature-provider-java,Java
40,confidence-openfeature-provider-js,TypeScript
41,confidence-openfeature-provider-kotlin,Kotlin
42,confidence-openfeature-provider-python,Python
43,confidence-openfeature-provider-swift,Swift
44,container-agent,Python
45,cookiecutter-golang,Go
46,coordinator,HTML
47,crtauth,Python
48,crtauth-java,Java
49,crtauth-java-agent-signer-apache,Java
50,crunch-lib,Java
51,cstar,Python
52,daemon-java,Java
53,dataenum,Java
54,DataflowJavaSDK,Java
55,dataproc-java-submitter,Java
56,dataprocxy,Python
57,dbeam,Java
58,debify,Shell
59,dh-virtualenv,Python
60,diffuser,Swift
61,dns-java,Java
62,docgenerator,Java
63,docker-alpine,
64,docker-bigtable,Go
65,docker-cassandra,Shell
66,docker-client,Java
67,docker-gc,Shell
68,docker-kafka,Shell
69,docker-maven-plugin,Java
70,docker-stress,Python
71,dockerfile-maven,Java
72,dockerfile-mode,Emacs Lisp
73,docker_interface,Python
74,drserv,Python
75,druid,
76,duck,Ruby
77,echoprint-codegen,C++
78,echoprint-server,Java
79,elasticsearch-index-window,Java
80,elitzur,Scala
81,eslint-config-oss,JavaScript
82,etcd,Go
83,featran,Scala
84,ffwd,Java
85,ffwd-client-java,Java
86,ffwd-http-client,Java
87,ffwd-ruby,Ruby
88,flink,Java
89,flink-docker,
90,flink-on-k8s-operator,Go
91,flo,Java
92,flume-syslog-source2,Java
93,flyte-flink-plugin,Go
94,fmt-maven-plugin,Java
95,folsom,Java
96,foss-root,
97,futures-extra,Java
98,futuristic-feline,Java
99,gcp-audit,Python
100,gcp-firewall-enforcer,Python
101,gcs-tools,Scala
102,ghelog,Python
103,gimme,Python
104,git-test,Shell
105,github-java-client,Java
106,google-http-java-client,Java
107,gordon,Python
108,gordon-gcp,Python
109,gordon-introspection,Python
110,gordon-janitor,Python
111,gordon-janitor-gcp,Python
112,griffin,Python
113,hadoop-openpgp-codec,Java
114,hdfs2cass,Java
115,helios,Java
116,helios-go,Go
117,helios-skydns,Java
118,heroic,Java
119,heroic-client-go,Go
120,heroic-client-java,Java
121,homebrew-public,Ruby
122,hornet,Scala
123,HubFramework,Objective-C
124,hush-tab,JavaScript
125,hype,Java
126,hyperflo,Scala
127,ieee-spm-vocals-tutorial,Jupyter Notebook
128,ios-auth,Objective-C
129,ios-ci,Shell
130,ios-sdk,Objective-C
131,ios-style,
132,java-hamcrest,Java
133,java-lkk,Java
134,jenkins-coverage-poster,Groovy
135,jira-lkk-bridge,Java
136,JniHelpers,C++
137,jsconfeu-2013,JavaScript
138,kafka,Scala
139,kairosdb,Java
140,kernel-common,
141,klio,Python
142,lemur,Python
143,lighthouse-audit-service,TypeScript
144,limbo,Scala
145,lingon,JavaScript
146,linux,C
147,logging-java,Java
148,luigi,Python
149,lyceum,Clojure
150,mace,
151,magnolify,Scala
152,metrics-munin-reporter,Java
153,missinglink,Java
154,mlockexec,Python
155,mobius,Java
156,mobius-android-sample,Java
157,Mobius.swift,Swift
158,moob,Ruby
159,netty-batch-flusher,Java
160,netty-zmtp,Java
161,noether,Scala
162,okta-sdk-python,Python
163,openfeature-kotlin-sdk,Kotlin
164,openfeature-swift-sdk,Swift
165,pedalboard,C++
166,PeqBank,C
167,perf-map-agent,C
168,phpconf-argentina-2014,JavaScript
169,platform-external-bluetooth-bluez,
170,polly-jest-presets,TypeScript
171,postgresql-metrics,Python
172,proto-registry,TypeScript
173,proto-requests,TypeScript
174,protoman,Java
175,puppet-talos,Puppet
176,pyeos,Python
177,pyfg,Python
178,pyschema,Python
179,python-graphwalker,Python
180,pythonflow,Python
181,pywk,Python
182,quickstart,JavaScript
183,ratatool,Scala
184,react-native-lookback,Objective-C
185,reactochart,JavaScript
186,realbook,Python
187,redux-location-state,JavaScript
188,requests-crtauth,Python
189,robolectric,Java
190,rspec-dns,Ruby
191,rspec-dnsruby,Ruby
192,ruler,Kotlin
193,s3mper,Java
194,scanctl,Python
195,scio,Scala
196,scio-contrib,Scala
197,scio-idea-plugin,Scala
198,scio.g8,Scala
199,sekexe,Shell
200,semantic-metrics,Java
201,should-up,JavaScript
202,shumway,Python
203,simple-bigtable,Java
204,skydns,
205,skygc,Python
206,snakebite,Python
207,soa-reference-integration,TypeScript
208,soundcheck-demo-environment,TypeScript
209,spark-bigquery,Scala
210,sparkey,C
211,sparkey-java,Java
212,sparkey-python,Python
213,spawn,Java
214,spotify-checkstyle-config,
215,spotify-heroic-datasource,TypeScript
216,spotify-js-challenge,JavaScript
217,spotify-json,C++
218,spotify-tensorflow,Python
219,spotify-web-api-ts-sdk,TypeScript
220,spotify-web-playback-sdk-example,JavaScript
221,spotify.github.io,HTML
222,SpotifyLogin,Swift
223,sprunch,Scala
224,SPStackedNav,Objective-C
225,SPTDataLoader,Objective-C
226,SPTPersistentCache,Objective-C
227,spydra,Java
228,spymaster,Python
229,squashing-census-exporter,Kotlin
230,ssh-agent-proxy,Java
231,ssh-agent-tls,Java
232,styx,Java
